📡电视-联通网,#genre#
CCTV-1综合,http://113.195.44.106:9901/tsfile/live/0001_1.m3u8#http://58.19.38.162:9901/tsfile/live/0001_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.10:5140
CCTV-2财经,http://113.195.44.106:9901/tsfile/live/1058_1.m3u8#http://58.19.38.162:9901/tsfile/live/0002_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.11:5140
CCTV-3综艺,http://113.195.44.106:9901/tsfile/live/0003_1.m3u8#http://58.19.38.162:9901/tsfile/live/0003_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.12:5140
CCTV-4中文国际,http://113.195.44.106:9901/tsfile/live/0004_1.m3u8#http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.13:5140
CCTV-5体育,http://113.195.44.106:9901/tsfile/live/0005_1.m3u8#http://58.19.38.162:9901/tsfile/live/0005_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.14:5140
CCTV-5+体育赛事,https://tvpull.careryun.com/tv/cctv5+.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.22:5140
CCTV-6电影,http://113.195.44.106:9901/tsfile/live/0006_1.m3u8#http://58.19.38.162:9901/tsfile/live/0006_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.15:5140
CCTV-7军事·农业,http://113.195.44.106:9901/tsfile/live/0007_1.m3u8#http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.16:5140
CCTV-8电视剧,http://113.195.44.106:9901/tsfile/live/0008_1.m3u8#http://58.19.38.162:9901/tsfile/live/0008_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.17:5140
CCTV-9纪录,http://113.195.44.106:9901/tsfile/live/0009_1.m3u8#http://58.19.38.162:9901/tsfile/live/0009_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.18:5140
CCTV-10科教,http://113.195.44.106:9901/tsfile/live/1057_1.m3u8#http://58.19.38.162:9901/tsfile/live/0010_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.19:5140
CCTV-11戏曲,http://113.195.44.106:9901/tsfile/live/1059_1.m3u8#http://58.19.38.162:9901/tsfile/live/0011_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.187:5140
CCTV-12社会与法,http://113.195.44.106:9901/tsfile/live/1060_1.m3u8#http://58.19.38.162:9901/tsfile/live/0012_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.20:5140
CCTV-13新闻,http://113.195.44.106:9901/tsfile/live/1061_1.m3u8#http://58.19.38.162:9901/tsfile/live/0013_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.190:5140
CCTV-14少儿,http://113.195.44.106:9901/tsfile/live/1062_1.m3u8#http://58.19.38.162:9901/tsfile/live/0014_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.21:5140
CCTV-15音乐,http://113.195.44.106:9901/tsfile/live/1063_1.m3u8#http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.188:5140
CCTV-16奥林匹克,http://113.195.44.106:9901/tsfile/live/1089_1.m3u8
CCTV-17农业农村,http://113.195.44.106:9901/tsfile/live/0019_1.m3u8#http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.152:5140
湖南卫视,http://113.195.44.106:9901/tsfile/live/1000_1.m3u8#http://58.19.38.162:9901/tsfile/live/0128_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.68:5140
浙江卫视,http://113.195.44.106:9901/tsfile/live/1001_1.m3u8#http://58.19.38.162:9901/tsfile/live/0124_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.61:5140
江苏卫视,http://113.195.44.106:9901/tsfile/live/1002_1.m3u8#http://58.19.38.162:9901/tsfile/live/0127_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.60:5140
东方卫视,http://113.195.44.106:9901/tsfile/live/1003_1.m3u8#http://58.19.38.162:9901/tsfile/live/0107_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.58:5140
北京卫视,http://113.195.44.106:9901/tsfile/live/1004_1.m3u8#http://58.19.38.162:9901/tsfile/live/0122_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.52:5140
安徽卫视,http://113.195.44.106:9901/tsfile/live/1005_1.m3u8#http://home2.neumantang.com:8888/udp/239.0.0.65:5140
山东卫视,http://113.195.44.106:9901/tsfile/live/1006_1.m3u8#http://58.19.38.162:9901/tsfile/live/0131_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.66:5140
深圳卫视,http://113.195.44.106:9901/tsfile/live/1007_1.m3u8#http://58.19.38.162:9901/tsfile/live/0126_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.71:5140
广东卫视,http://113.195.44.106:9901/tsfile/live/1010_1.m3u8#http://58.19.38.162:9901/tsfile/live/0125_1.m3u8?key=txiptv#http://home2.neumantang.com:8888/udp/239.0.0.70:5140
